comentario_id,comentario,clasificacion
1,"Me encanta la nueva versión, es espectacular.",bueno
2,"El diseño es terrible, no me gusta para nada.",malo
3,No entiendo bien las diferencias con la versión anterior.,info
4,Es un gran avance en comparación con el modelo anterior.,bueno
5,Parece que los acabados son de mala calidad.,malo
6,Me gustaría saber más sobre las nuevas características.,info
7,Estoy impresionado con la comodidad del interior.,bueno
8,"No me convence el precio, es muy caro.",malo
9,Necesito más información sobre la garantía.,info
10,"Excelente manejo y eficiencia, realmente bueno.",bueno
